ICAO,IATA,Name
ABX,GB,ABX Air
AEE,A3,Aegean Airlines
EIN,EI,Aer Lingus
MNG,M0,Aero Mongolia
RPB,P5,Aero Republica
AFL,SU,Aeroflot
AEZ,XZ,Aeroitalia
ARG,AR,Aerolineas Argentinas
AMX,AM,Aeromexico
AFW,AW,Africa World Airlines
DAH,AH,Air Algérie
ABY,G9,Air Arabia
KZR,KC,Air Astana
AWA,2A,Air Astra
ABD,CC,Air Atlanta Icelandic
REU,UU,Air Austral
BTI,BT,Air Baltic
BOT,BP,Air Botswana
MSC,SM,Air Cairo
TPC,TY,Air Caledonie
KHV,K6,Air Cambodia
ACA,AC,Air Canada
FWI,TX,Air Caraibes
CGN,9H,Air Changan
CCA,CA,Air China
CCM,XK,Air Corsica
DLA,EN,Air Dolomiti
AEA,UX,Air Europa
AFR,AF,Air France
CGH,GT,Air Guilin
AHK,LD,Air Hong Kong
AIC,AI,Air India
AXB,IX,Air India Express
KOR,JS,Air Koryo
AMU,NX,Air Macau
MAU,MK,Air Mauritius
MNE,4O,Air Montenegro
ANZ,NZ,Air New Zealand
ANG,PX,Air Niugini
ANE,YW,Air Nostrum
APK,P4,Air Peace
APZ,YP,Air Premia
SZN,HC,Air Senegal
ASL,JU,Air Serbia
SEY,HM,Air Seychelles
VTA,VT,Air Tahiti
THT,TN,Air Tahiti Nui
ATC,TC,Air Tanzania
TSC,TS,Air Transat
AVN,NF,Air Vanuatu
ACI,SB,Aircalin
GJM,RE,Airhub Airlines
GEL,D4,Airline GEO SKY
LNK,4Z,Airlink
AIH,KJ,AIRZETA
TKJ,VF,AJet
AKJ,QP,Akasa Air
ASA,AS,Alaska Airlines
LAV,AP,Albastar
LMU,UJ,AlMasria Universal Airlines
AIA,8R,Amelia
AAL,AA,American Airlines
ANA,NH,ANA
RIV,GP,APG Airlines
DWI,DM,Arajet
AIZ,IZ,Arkia Israeli Airlines
AAR,OZ,Asiana Airlines
SKK,KP,ASKY
TAY,3V,ASL Airlines Belgium
FPO,5O,ASL Airlines France
ABR,5H,ASL Airlines Ireland
FLI,RC,Atlantic Airways
GTI,5Y,Atlas Air
AUA,OS,Austrian
AVA,AV,Avianca
LRC,LR,Avianca Costa Rica
GLG,2K,Avianca Ecuador
NVD,X9,Avion Express
MLH,4X,Avion Express Malta
AHY,J2,Azerbaijan Airlines
RZO,S4,Azores Airlines
AZU,AD,Azul Brazilian Airlines
BDR,J4,Badr Airlines
BHS,UP,Bahamasair
BAV,QH,Bamboo Airways
BKP,PG,Bangkok Airways
BTK,ID,Batik Air
MXD,OD,Batik Air Malaysia
BBT,B5,BBN Airlines
BRU,B2,Belavia Belarusian Airlines
BBC,BG,Biman Bangladesh Airlines
IBB,NT,Binter Canarias
BBG,BZ,Blue Bird Airways
BOV,OB,BoA Boliviana de Aviacion
BRX,TF,Braathens Regional Airways
BAW,BA,British Airways
BEL,SN,Brussels Airlines
LZB,FB,Bulgaria Air
CRC,QC,Camair-Co
CBJ,JD,Capital Airlines
CJT,W8,Cargojet Airways
CLX,CV,Cargolux
BWA,BW,Caribbean Airlines
KRP,V3,Carpatair
CPA,CX,Cathay Pacific
CEB,5J,Cebu Pacific
KEM,5Z,CemAir
CSW,CS,Chair Airlines
CLG,CE,Chalair
CHG,X7,Challenge Airlines (BE)
ICL,5C,Challenge Airlines (IL)
CAL,CI,China Airlines
CKK,CK,China Cargo Airlines
CES,MU,China Eastern
HXA,G5,China Express Airlines
CYZ,CF,China Postal Airlines
CSN,CZ,China Southern Airlines
CUA,KN,China United Airlines
CTV,QG,Citilink
BCY,WX,CityJet
EFY,VE,Clic Air
CFG,DE,Condor
CMP,CM,COPA Airlines
CAI,XC,Corendon Airlines
CRL,SS,Corsair International
CTN,OU,Croatia Airlines
CUB,CU,Cubana
CYP,CY,Cyprus Airways
DNA,DN,DAN AIR
DNU,R6,DAT (LT)
DAL,DL,Delta Air Lines
DHK,D0,DHL Air
DHX,ES,DHL Aviation
OCN,4Y,Discover Airlines
DTH,SF,Domestic Airlines
EAL,2D,Eastern Airlines
EZY,U2,EasyJet
EDW,WK,Edelweiss Air
MSR,MS,Egyptair
ELY,LY,EL AL
EAF,3E,Electra Airways
UAE,EK,Emirates
ESF,E7,Estafeta Cargo
ETH,ET,Ethiopian Airlines
ETD,EY,Etihad Airways
MMZ,YU,EuroAtlantic Airways
BCS,QY,European Air Transport
EWG,EW,Eurowings
EVA,BR,EVA Air
EZA,MG,Eznis Airways
FJW,FN,Fastjet Zimbabwe
FDX,FX,FedEx Express
FJI,FJ,Fiji Airways
FIN,AY,Finnair
FXT,W2,FlexFlight
FBA,IF,Fly Baghdad
FLN,WV,Fly Namibia
VAW,F6,Fly2Sky
FAD,F3,flyadeal
FDB,FZ,flydubai
ABS,J7,FlyGabon
KNE,XY,Flynas
FIA,5F,FLYONE
FHY,FH,Freebird Airlines
FBU,BF,French Bee
FZA,FU,Fuzhou Airlines
GIA,GA,Garuda Indonesia
TGZ,A9,Georgian Airways
GER,ZQ,German Airways
GJT,GW,GetJet Airlines
GBB,GE,Global Airways and Lift
GXA,G6,GlobalX
GLO,G3,GOL Linhas Aereas
HGB,HB,Greater Bay Airlines
GFA,GF,Gulf Air
CBG,GX,GX Airlines
HHN,HR,Hahnair
CHH,HU,Hainan Airlines
HAL,HA,Hawaiian Airlines
HBH,NS,Hebei Airlines
HLJ,H3,Hello Jets
HST,HN,Heston Airlines
HFY,5K,Hi Fly
HFM,3L,Hi Fly (Malta)
HIM,H9,Himalaya Airlines
HKC,RH,Hong Kong Air Cargo
CRK,HX,Hong Kong Airlines
HKE,UO,Hong Kong Express Airways
IBE,IB,IBERIA
OBS,6O,Iberojet
EVE,E9,Iberojet Airlines
IAN,QI,Ibom Air
ICE,FI,Icelandair
KAR,EO,Ikar
IGO,6E,IndiGo
IRA,IR,Iran Air
IRB,B9,Iran Airtour Airline
IRC,EP,Iran Aseman Airlines
ISR,6H,Israir
ITY,AZ,ITA Airways
JAL,JL,Japan Airlines
JTA,NU,Japan Transocean Air
JZR,J9,Jazeera Airways
JDL,JG,JD Airlines
JJA,7C,Jeju Air
JBU,B6,JetBlue
JES,WJ,JetSMART Argentina
JAT,JA,JetSMART Chile
JAP,JZ,JetSMART Peru
JTD,JP,Jettime
JNA,LJ,Jin Air
JAV,R5,Jordan Aviation
DKH,HO,Juneyao Airlines
KMF,RQ,Kam Air
KQA,KQ,Kenya Airways
KLJ,KJ,KlasJet
KLM,KL,KLM
KMM,KM,KM Malta Airlines
KAL,KE,Korean Air
KNA,KY,Kunming Airlines
KAC,KU,Kuwait Airways
DJT,B0,La Compagnie
LAM,TM,LAM
LAO,QV,Lao Airlines
TAM,JJ,LATAM Airlines Brasil
ARE,4C,LATAM Airlines Colombia
