Name,ICAO,IATA
ABX Air,ABX,GB
Aegean Airlines,AEE,A3
Aer Lingus,EIN,EI
Aero Mongolia,MNG,M0
Aero Republica,RPB,P5
Aeroflot,AFL,SU
Aeroitalia,AEZ,XZ
Aerolineas Argentinas,ARG,AR
Aeromexico,AMX,AM
Africa World Airlines,AFW,AW
Air Algérie,DAH,AH
Air Arabia,ABY,G9
Air Astana,KZR,KC
Air Astra,AWA,2A
Air Atlanta Icelandic,ABD,CC
Air Austral,REU,UU
Air Baltic,BTI,BT
Air Botswana,BOT,BP
Air Cairo,MSC,SM
Air Caledonie,TPC,TY
Air Cambodia,KHV,K6
Air Canada,ACA,AC
Air Caraibes,FWI,TX
Air Changan,CGN,9H
Air China,CCA,CA
Air Corsica,CCM,XK
Air Dolomiti,DLA,EN
Air Europa,AEA,UX
Air France,AFR,AF
Air Guilin,CGH,GT
Air Hong Kong,AHK,LD
Air India,AIC,AI
Air India Express,AXB,IX
Air Koryo,KOR,JS
Air Macau,AMU,NX
Air Mauritius,MAU,MK
Air Montenegro,MNE,4O
Air New Zealand,ANZ,NZ
Air Niugini,ANG,PX
Air Nostrum,ANE,YW
Air Peace,APK,P4
Air Premia,APZ,YP
Air Senegal,SZN,HC
Air Serbia,ASL,JU
Air Seychelles,SEY,HM
Air Tahiti,VTA,VT
Air Tahiti Nui,THT,TN
Air Tanzania,ATC,TC
Air Transat,TSC,TS
Air Vanuatu,AVN,NF
Aircalin,ACI,SB
Airhub Airlines,GJM,RE
Airline GEO SKY,GEL,D4
Airlink,LNK,4Z
AIRZETA,AIH,KJ
AJet,TKJ,VF
Akasa Air,AKJ,QP
Alaska Airlines,ASA,AS
Albastar,LAV,AP
AlMasria Universal Airlines,LMU,UJ
Amelia,AIA,8R
American Airlines,AAL,AA
ANA,ANA,NH
APG Airlines,RIV,GP
Arajet,DWI,DM
Arkia Israeli Airlines,AIZ,IZ
Asiana Airlines,AAR,OZ
ASKY,SKK,KP
ASL Airlines Belgium,TAY,3V
ASL Airlines France,FPO,5O
ASL Airlines Ireland,ABR,5H
Atlantic Airways,FLI,RC
Atlas Air,GTI,5Y
Austrian,AUA,OS
Avianca,AVA,AV
Avianca Costa Rica,LRC,LR
Avianca Ecuador,GLG,2K
Avion Express,NVD,X9
Avion Express Malta,MLH,4X
Azerbaijan Airlines,AHY,J2
Azores Airlines,RZO,S4
Azul Brazilian Airlines,AZU,AD
Badr Airlines,BDR,J4
Bahamasair,BHS,UP
Bamboo Airways,BAV,QH
Bangkok Airways,BKP,PG
Batik Air,BTK,ID
Batik Air Malaysia,MXD,OD
BBN Airlines,BBT,B5
Belavia Belarusian Airlines,BRU,B2
Biman Bangladesh Airlines,BBC,BG
Binter Canarias,IBB,NT
Blue Bird Airways,BBG,BZ
BoA Boliviana de Aviacion,BOV,OB
Braathens Regional Airways,BRX,TF*
British Airways,BAW,BA
Brussels Airlines,BEL,SN
Bulgaria Air,LZB,FB
Camair-Co,CRC,QC
Capital Airlines,CBJ,JD
Cargojet Airways,CJT,W8
Cargolux,CLX,CV
Caribbean Airlines,BWA,BW
Carpatair,KRP,V3
Cathay Pacific,CPA,CX
Cebu Pacific,CEB,5J
CemAir,KEM,5Z
Chair Airlines,CSW,CS
Chalair,CLG,CE
Challenge Airlines (BE),CHG,X7
Challenge Airlines (IL),ICL,5C
China Airlines,CAL,CI
China Cargo Airlines,CKK,CK
China Eastern,CES,MU
China Express Airlines,HXA,G5
China Postal Airlines,CYZ,CF
China Southern Airlines,CSN,CZ
China United Airlines,CUA,KN
Citilink,CTV,QG
