SLAB,DESCRIPTION,ID
AC,ACCIDENTE LABORAL,AC - ACCIDENTE LABORAL
AD,ADAPTACION DE DIFERENCIAS AVION,AD - ADAPTACION DE DIFERENCIAS AVION
AE,CURSO ESTANDARIZACION AESA,AE - CURSO ESTANDARIZACION AESA
AES,SEMINARIO ESTANDARIZACION PARA EXAMINADORES (AESA),AES - SEMINARIO ESTANDARIZACION PARA EXAMINADORES (AESA)
AF,EXCEDENCIA POR CUIDADO FAMILIAR ENFERMO,AF - EXCEDENCIA POR CUIDADO FAMILIAR ENFERMO
AH,ESPERA PCR COVID-19,AH - ESPERA PCR COVID-19
BB,BODA FAMILIAR FUERA DE BASE,BB - BODA FAMILIAR FUERA DE BASE
BD,BAJA DEFINITIVA,BD - BAJA DEFINITIVA
BF,BODA FAMILIAR,BF - BODA FAMILIAR
BL,DIA BLANCO,BL - DIA BLANCO
BO,MATRIMONIO,BO - MATRIMONIO
BR,BRIEFING,BRIEFING
BST,BASICO DE SALVAMENTO,BS - BASICO DE SALVAMENTO
C1,SIMULADOR SPARRING,C1 - SIMULADOR SPARRING
C2,SIMULADOR SPARRING,C2 - SIMULADOR SPARRING
C3,SIMULADOR SPARRING,C3 - SIMULADOR SPARRING
C4,SIMULADOR SPARRING,C4 - SIMULADOR SPARRING
C5,SIMULADOR SPARRING,C5 - SIMULADOR SPARRING
C5B,SIMULADOR SPARRING,C5B - SIMULADOR SPARRING
C6,SIMULADOR SPARRING,C6 - SIMULADOR SPARRING
CA,CIMA,CA - CIMA
CBT,CBT,CBT
CC,CURSO CONVERSION AL OPERADOR,CC - CURSO CONVERSION AL OPERADOR
CCA,CURSO CONVERSION AL OPERADOR,CCA - CURSO CONVERSION AL OPERADOR
CFM,CURSO TEORICO A330,CFM - CURSO TEORICO A330
CI,FORMACIÓN TÉCNICA DE INSTRUCTORES,CI - FORMACIÓN TÉCNICA DE INSTRUCTORES
CI,CURSO DE INSTRUCTORES  TEORICA TECNICA,CI - CURSO DE INSTRUCTORES  TEORICA TECNICA
CIB,CURSO CIBER SEGURIDAD (E-LEARNING),CIB - CURSO CIBER SEGURIDAD (E-LEARNING)
CJ,CURSO REFRESCO CRM (ALUMNO),CJ - CURSO REFRESCO CRM (ALUMNO)
CL,COMPETENCIA LINGÜISTICA,CL - COMPETENCIA LINGÜISTICA
CM,CURSO COMUNICACIONES (ALUMNO),CM - CURSO COMUNICACIONES (ALUMNO)
COM,COMIDA,COMIDA
CP,PERMISO R. CARACTER PUBLICO,CP - PERMISO R. CARACTER PUBLICO
CPX,PERMISO R. CARACTER PUBLICO,CPX - PERMISO R. CARACTER PUBLICO
CS,COMISION DE SERVICIO,CS - COMISION DE SERVICIO
CT,CESE TEMPORAL EN VUELO POR SM IB,CT - CESE TEMPORAL EN VUELO POR SM IB
CTR,CURSO HABILITACION A350,CTR - CURSO HABILITACION A350
CX,CURSO EXPERIENCIA CLIENTE,CX - CURSO EXPERIENCIA CLIENTE
D,DIA D,D - DIA D
DA,DIA ADICIONAL COVID,DA - DIA ADICIONAL COVID
DB,DIA BLOQUEADO,DB - DIA BLOQUEADO
DC,DIA  LIBRE CUPLEAÑOS,DC - DIA  LIBRE CUPLEAÑOS
DD,DIA D,DD - DIA D
DDI,DIA D,DDI - DIA D
DE,DIA LIBRE ESPECIAL,DE - DIA LIBRE ESPECIAL
DH,DIA D,DH - DIA D
DH,HABILITACION DIFERENCIAS,DH - HABILITACION DIFERENCIAS
DL,DIA PETICION LIBRE,DL - DIA PETICION LIBRE
DR,DEBRIEFING,DEBRIEFING
DSA,DIA SIN ACIVIDAD PNP,DSA - DIA SIN ACIVIDAD PNP
DSE,DIA LIBRE ESPECIAL,DSE - DIA LIBRE ESPECIAL
DY,DIA D,DY - DIA D
E1,INSTRUCTOR,E1 - INSTRUCTOR
E2,INSTRUCTOR,E2 - INSTRUCTOR
E3,INSTRUCTOR,E3 - INSTRUCTOR
E4,INSTRUCTOR,E4 - INSTRUCTOR
E4A,INSTRUCTOR SIM A,E4 - INSTRUCTOR SIM A
E4B,INSTRUCTOR SIM B,E4 - INSTRUCTOR SIM B
E4D,A340: INSTRUCTOR,E4D - A340: INSTRUCTOR
E4E,MD87: INSTRUCTOR,E4E - MD87: INSTRUCTOR
E4G,B757: INSTRUCTOR,E4G - B757: INSTRUCTOR
E5,INSTRUCTOR,E5 - INSTRUCTOR
E5A,INSTRUCTOR,E5A - INSTRUCTOR
E5B,INSTRUCTOR,E5B - INSTRUCTOR
E6,INSTRUCTOR,E6 - INSTRUCTOR
E7,INSTRUCTOR,E7 - INSTRUCTOR
E8C,INSTRUCTOR BCN,E8 - INSTRUCTOR BCN
EB,ENFERMO BAJA SS,EB - ENFERMO BAJA SS
ED,ENTREGA DE DIPLOMA,ED - ENTREGA DE DIPLOMA
EF,PERMISO CON SUELDO ENFERM.FAM,EF - PERMISO CON SUELDO ENFERM.FAM
EI,ENFERMO BAJA SM,EI - ENFERMO BAJA SM
EL,PERMISO CON SUELDO ENFERM.FAM(FB),EL - PERMISO CON SUELDO ENFERM.FAM(FB)
EM,EXCEDENCIA POR MATERNIDAD,EM - EXCEDENCIA POR MATERNIDAD
ER,JUBILACION POR EDAD REGLAMENTARIA,ER - JUBILACION POR EDAD REGLAMENTARIA
ES,ENFERMO SIN BAJA JUSTIFICADA,ES - ENFERMO SIN BAJA JUSTIFICADA
EX,DIA LIBRE POR EXAMEN,EX - DIA LIBRE POR EXAMEN
EXT,EXTENSION en INCIDENCIAS,INe - EXTENSION en INCIDENCIAS
FAN,CURSO FANS,FAN-CURSO FANS
FB,FALLECIMIENTO FAMILIAR 1ER GRADO (FB),FB - FALLECIMIENTO FAMILIAR 1ER GRADO (FB)
FCJ,CURSO FACILITADORES REFRESCO CRM (ALUMNO),FCJ - CURSO FACILITADORES REFRESCO CRM (ALUMNO)
FF,FRANCO SERVICIO,F - FRANCO SERVICIO
FI,INSPECCION EN VUELO,FI - INSPECCION EN VUELO
FJ,CURSO REFRESCO CRM (FACILITADOR),FJ - CURSO REFRESCO CRM (FACILITADOR)
FL,FRANCO ESPECIAL,FL - FRANCO ESPECIAL
FM,FALLECIMIENTO FAMILIAR 1ER GRADO,FM - FALLECIMIENTO FAMILIAR 1ER GRADO
FPT,CURSO FORMACION FORMADORES TEC,FPT - CURSO FORMACION FORMADORES TEC
FPT,FORMACION DE FORMADORES TEC,FPT-FORMACION DE FORMADORES TEC
